,Name,Price
0,10th Gen Intel® Core™ i3-10100F Desktop Processor 4 Cores up to 4.3GHz Without Processor Graphics LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110100F,6149
1,10th Gen Intel® Core™ i3-10105 Desktop Processor 4 Cores up to 4.4GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110105,10200
2,10th Gen Intel® Core™ i3-10105F Desktop Processor 4 Cores up to 4.4GHz Without Processor Graphics LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110105F,6049
3,10th Gen Intel® Core™ i5-10400F Desktop Processor 6 Cores up to 4.3GHz Without Processor Graphics LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110400F,10449
4,10th Gen Intel® Core™ i7-10700F Desktop Processor 8 Cores up to 4.8GHz Without Processor Graphics LGA1200 (Intel® 400 Series chipset) 65W BX8070110700F,21949
5,10th Gen Intel® Core™ i9-10850K Desktop Processor 10 Cores up to 5.2GHz Unlocked LGA1200 (Intel® 400 Series chipset) 95W BX8070110850K,30995
6,10th Gen Intel® Core™ i9-10900K Desktop Processor 10 Cores up to 5.3GHz Unlocked LGA1200 (Intel® 400 Series chipset) 125W BX8070110900K,34099
7,11th Gen Intel Core I5-11600KF Desktop Processor 6 Cores Up To 4.9GHz Unlocked Without Processor Graphics LGA 1200 (Intel® 500 Series chipset) 125W BX8070811600KF,18899
8,11th Gen Intel Core i7-11700F Desktop Processor 8 Cores Up To 4.90GHz without Processor Graphics LGA 1200 (Intel 500 & 400 Series Chipset) 65W BX8070811700F,25799
9,11th Gen Intel Core i9-11900F Desktop Processor 8 Cores Up to 5.20GHz Without Processor Graphics LGA1200 (Intel 500 Series Chipset) 65W BX8070811900F,32199
10,11th Gen Intel® Core™ i5-11400 Desktop Processor 6 Cores up to 4.4GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070811400,14949
11,11th Gen Intel® Core™ i5-11400F Desktop Processor 6 Cores up to 4.4GHz Without Processor Graphics LGA 1200 (Intel® 400 Series Chipset) 65W BX8070811400F,12190
12,"11th Gen Intel® Core™ i5-11500 Desktop Processor 6 Cores up to 4.6GHz LGA 1200 (Intel® 400, 500 Series Chipset) 65W BX8070811500",16749
13,11th Gen Intel® Core™ i5-11600K Desktop Processor 6 Cores up to 4.9GHz Unlocked LGA1200 (Intel® 500 Series chipset) 125W BX8070811600K,21560
