,Kanji,Meaning,Reading,Mnemonic,Level,URL
0,上,ABOVE,"Of course when you find a toe above the ground, you want to know where the toe came from. When you examine it, you see a name written on there. This toe belongs to the local clumsy farmhand, Jourm (じょう).
HINTS
Try to remember Jourm, the local farmhand. He is a recurring character that will come up anytime the reading for a kanji is じょう.
He is a very big man, and he wears farmer's clothes. It's important to imagine your version of Jourm as very big, because it will help us to differentiate him from Jo-Anne, who is the character associated with the similar, but shorter reading (and character) じょ. Although Jourm will develop as you go through all the じょう reading kanji, for now just imagine him as a big, kinda slow dude who works for a local farmer. Also, he only has nine or fewer toes, apparently.","You find a toe on the ground. It's weird, because it's above the ground, not where toes belong.
HINTS
Focus your imagination on how body parts should be buried, not above ground like this. Sure, finding a toe is a little strange, but finding a toe above the ground? Downright silly.",1,https://www.wanikani.com/kanji/%E4%B8%8A
1,下,BELOW,"You keep digging for the toe below the ground, and instead of hitting a toe you hit something hard and metallic. You keep digging and digging around it, but it's huge. Turns out, you found yourself a car (か). Keep digging until you unearth the car. Inside, you find the toe you were looking for.
HINTS
There's another useful on'yomi reading that just isn't useful enough for you to learn now. That reading is げ, but we're only going to worry about that much, much later when you have to learn one or two vocab words that read 下 as げ. That's the problem with really common kanji - too many readings.","There's a toe below ground.
HINTS
So, where is the toe now? It's below ground. Imagine yourself digging it out, and thinking... ugh, why does it have to be below ground like this? So irritating. Will I be able to sew it back on in time to save it?",1,https://www.wanikani.com/kanji/%E4%B8%8B
2,大,BIG,"There's this big guy (that's how you remember the radical, remember?), and he's wearing a huge Tie Dye (たい, だい) shirt. Because he's so huge, the tie dye shirt is also super huge. Everything about him is pretty big, but the tie dye stands out more than anything.
HINTS
When you look at the big guy in your head, imagine him covered in tie dye head to toe. Think about how ridiculous it looks on him, especially since he's such a big guy. Shirt. Sweatpants. Hat. Shoes... it goes on and on.","The big radical and the big kanji are exactly the same!
HINTS
So, if you know the radical, you know the meaning of this kanji as well.",1,https://www.wanikani.com/kanji/%E5%A4%A7
3,工,CONSTRUCTION,"For kanji that use the こう (there are a lot of them!) we will use the character こういち every time. He's one of the people who started this website, so we'll do our best in the mnemonics to embarrass him as much as possible. Anyways, remember that whenever you see こう, think こういち.
You see some construction in front of you. There, standing shirtless (only a suspender and hard hat) is (こういち), looking back at you.
HINTS
If こういち as a construction worker standing in a construction site some how doesn't make your legs tremble, that's okay and totally normal. Do make sure you take this story to a ridiculous enough level to hook a memory into that brain of yours. Be mad at him for not following construction site regulations (where's his shirt, shoes, and pants!?). Why is he using that bulldozer like that?
Alternatively, say you really do like what you see (you're going to have to imagine a much better looking version of こういち's actual face, though). You and こういち make eye contact a little too long. He nods, puts his cigarette out, and takes off his hard hat, letting his long Fabio-esque locks flow. You beckon him over and he comes. What happens next is up to you and your own imagination. My guess is you have a very deep conversation about kanji and the best ways to learn it.
Hint: When you see 工 in a kanji it will often take the こう reading. Remember that, because it comes up quite a bit!","The construction radical and the construction kanji are the same!
This kanji also means industry, which is what construction is, if you think about it. It's all part of the construction industry.
HINTS
Know your radicals and you'll know this kanji's meaning.",1,https://www.wanikani.com/kanji/%E5%B7%A5
4,八,EIGHT,"After you count and smell all eight of your fins, it's time to put them away. You open a large hatch (はち) and put them in. This is where you keep your fins, always putting in eight at a time because that's what the boss wants.
HINTS
You've asked him why you can only put eight fins at a time in the hatch, but he never wants to answer. What could be down in the hole that the hatch covers? Why is there a hatch at all? What's with numbers and hatches being mysterious?","This isn't exactly the same as the fins radical, but it's close. Sometimes this will happen (where we have to use a slightly ""modified radical"" version of the original), so it's good to understand that now, early on. In this case, we have fins. How many fins? Eight fins. How do you know that? Because you caught four fish with two fins each.
HINTS
Count the fins out in front of you, all the way from one to eight. It'll help if you actually do this. Now smell each fin, and think ""Wow, I have to smell all eight of these?"" Yes, you do.",1,https://www.wanikani.com/kanji/%E5%85%AB
5,入,ENTER,"Turns out, after you enter the teepee (you'll remember that the radical is a teepee with a big entrance to it), you're given a new (にゅう) one! Now you have two teepees!
HINTS
Imagine lights turning on and flashing, and an entire audience inside. You're at a gameshow, and the announcer announces the neeeeew teepee in his announcey voice. Feel the surprise. Feel the happiness. Feel the excitement. A beautiful new teepee all for you!","The kanji and the radical are the same, so remembering the meaning of this kanji is as simple as making sure you know the radical for enter first! If you know the radical, you know this kanji means enter as well.
HINTS
Make sure you know those radicals, yo!",1,https://www.wanikani.com/kanji/%E5%85%A5
6,山,MOUNTAIN,"Think about mountains talking to each other, calling each other by their names and adding the Japanese name-ender san (さん) to each of their names. ""Hello, Everest-san."" ""Oh hi, Fuji-san.""
HINTS
Be sure to imagine this vividly. The more absurdly you can imagine it, the more likely you are to remember the reading, san.","The mountain radical and the mountain kanji are the same.
HINTS
Make sure you're studying your radicals. If you are, then you're studying your kanji as well!",1,https://www.wanikani.com/kanji/%E5%B1%B1
7,口,MOUTH,"Do you remember seeing the construction worker こういち earlier in the 工 mnemonic? If you haven't yet, not to worry!
For kanji with こう readings (there are a lot of them!) we will use the character こういち every time. He's one of the people who started this website, so we'll do our best in the mnemonics to embarrass him as much as possible. Anyways, remember that whenever you see こう, think こういち.
Everyone agrees, (こういち)'s mouth is his best feature. You stare at it lovingly as he whispers sweet kanji readings to you.
HINTS
You just can't forget all the cool things about kanji learning he said from that mouth. What a great mouth こういち has. How are the lips of his mouth both so skinny and fat at the same time?","The mouth radical and the mouth kanji are exactly the same!
HINTS
If you learned your radicals–which the WaniKani system forces you to do (unless you're cheating)–you'll already know the meaning of the kanji.",1,https://www.wanikani.com/kanji/%E5%8F%A3
8,九,NINE,"Although this kanji has two on'yomi to learn, the pronunciations of those two on'yomi are very similar, so that should make them easier to remember.
When you were nine your favorite foods were cookies (く) and cucumbers (きゅう). Yum yum!
HINTS
Picture nine-year-old you, lining up nine cookies and nine cucumbers. You dip a cookie in milk and bite into it, then dip a cucumber in and take a bite. Nine bites each until they're all gone. Ah, you miss being nine.","Nice! This kanji is the same as the radical that looks just like it (down to the meaning, even!). The radical is nine and the kanji is nine, making the meaning of this kanji really easy to remember as long as you know the radical first.
HINTS
If you know your radicals well, this kanji will be a breeze!",1,https://www.wanikani.com/kanji/%E4%B9%9D
9,一,ONE,"As you're sitting there next to One, holding him up, you start feeling a weird sensation all over your skin. From the wound comes a fine powder (obviously coming from the special bullet used to kill One) that causes the person it touches to get extremely itchy (いち).
HINTS
Make sure you feel the ridiculously itchy sensation covering your body. It climbs from your hands, where you're holding the number One up, and then goes through your arms, crawls up your neck, goes down your body, and then covers everything. It becomes uncontrollable, and you're scratching everywhere, writhing on the ground. It's so itchy that it's the most painful thing you've ever experienced (you should imagine this vividly, so you remember the reading of this kanji).","Lying on the ground is something that looks just like the ground, the number One. Why is this One lying down? It's been shot by the number two. It's lying there, bleeding out and dying. The number One doesn't have long to live.
HINTS
To remember the meaning of One, imagine yourself there at the scene of the crime. You grab One in your arms, trying to prop it up, trying to hear its last words. Instead, it just splatters some blood on your face. ""Who did this to you?"" you ask. The number One points weakly, and you see number Two running off into an alleyway. He's always been jealous of number One and knows he can be number one now that he's taken the real number one out.",1,https://www.wanikani.com/kanji/%E4%B8%80
